Naive Bayes,0.5,0.1538,0.0645,0.5447,0.2353,0.1418,0.5447
Decision Tree,0.4286,0.2308,0.129,0.5509,0.3,0.1269,0.5509
Nearest Centroid,0.2308,0.4615,0.6452,0.4082,0.3077,-0.1704,0.4082
Naive Bayes,0.1,0.1,0.2647,0.4176,0.1,-0.1647,0.4176
Decision Tree,0.2143,0.3,0.3235,0.4882,0.25,-0.0212,0.4882
Nearest Centroid,0.1818,0.4,0.5294,0.4353,0.25,-0.1085,0.4353
Naive Bayes,0.2,0.1667,0.1081,0.5293,0.1818,0.0633,0.5293
Decision Tree,0.1333,0.3333,0.3514,0.491,0.1905,-0.0131,0.491
Nearest Centroid,0.4286,0.5,0.1081,0.6959,0.4615,0.3678,0.6959
Naive Bayes,0.1667,0.25,0.1282,0.5609,0.2,0.1021,0.5609
Decision Tree,0.0,0.0,0.3333,0.3333,0.0,-0.2108,0.3333
Nearest Centroid,0.1111,0.25,0.2051,0.5224,0.1538,0.032,0.5224
Naive Bayes,0.1667,0.25,0.1282,0.5609,0.2,0.1021,0.5609
Decision Tree,0.1111,0.25,0.2051,0.5224,0.1538,0.032,0.5224
Nearest Centroid,0.125,0.25,0.1795,0.5353,0.1667,0.0526,0.5353
Naive Bayes Mean,0.2267,0.1841,0.1387,0.5227,0.1834,0.0489,0.5227
Decision Tree Mean,0.1775,0.2228,0.2685,0.4772,0.1789,-0.0172,0.4772
Nearest Centroid Mean,0.2155,0.3723,0.3335,0.5194,0.2679,0.0347,0.5194
