Naive Bayes,0.4545,0.5556,0.1579,0.6988,0.5,0.3696,0.6988
Decision Tree,0.3846,0.5556,0.2105,0.6725,0.4545,0.3035,0.6725
Nearest Centroid,0.5714,0.4444,0.0789,0.6827,0.5,0.4039,0.6827
Naive Bayes,0.4545,0.625,0.1538,0.7356,0.5263,0.4182,0.7356
Decision Tree,0.2333,0.875,0.5897,0.6426,0.3684,0.2231,0.6426
Nearest Centroid,0.75,0.75,0.0513,0.8494,0.75,0.6987,0.8494
Naive Bayes,0.3636,0.6667,0.1707,0.748,0.4706,0.3909,0.748
Decision Tree,0.2222,0.6667,0.3415,0.6626,0.3333,0.2232,0.6626
Nearest Centroid,0.3,0.5,0.1707,0.6646,0.375,0.2685,0.6646
Naive Bayes,0.1111,0.25,0.186,0.532,0.1538,0.0454,0.532
Decision Tree,0.1111,0.5,0.3721,0.564,0.1818,0.0734,0.564
Nearest Centroid,1.0,0.25,0.0,0.625,0.4,0.4834,0.625
Naive Bayes,0.25,0.75,0.2143,0.7679,0.375,0.3438,0.7679
Decision Tree,0.2105,1.0,0.3571,0.8214,0.3478,0.3679,0.8214
Nearest Centroid,0.3333,0.5,0.0952,0.7024,0.4,0.3386,0.7024
Naive Bayes Mean,0.3267,0.5695,0.1765,0.6965,0.4051,0.3136,0.6965
Decision Tree Mean,0.2323,0.7195,0.3742,0.6726,0.3372,0.2382,0.6726
Nearest Centroid Mean,0.5909,0.4889,0.0792,0.7048,0.485,0.4386,0.7048
