Naive Bayes,0.6667,0.5,0.1765,0.6618,0.5714,0.3444,0.6618
Decision Tree,0.5714,0.6667,0.3529,0.6569,0.6154,0.3092,0.6569
Nearest Centroid,0.5455,0.5,0.2941,0.6029,0.5217,0.209,0.6029
Naive Bayes,0.0,0.0,0.1852,0.4074,0.0,-0.0897,0.4074
Decision Tree,0.0,0.0,0.2593,0.3704,0.0,-0.1111,0.3704
Nearest Centroid,0.0,0.0,0.2222,0.3889,0.0,-0.1005,0.3889
Naive Bayes,0.8,0.4,0.0556,0.6722,0.5333,0.4309,0.6722
Decision Tree,0.5385,0.7,0.3333,0.6833,0.6087,0.3523,0.6833
Nearest Centroid,0.6667,0.4,0.1111,0.6444,0.5,0.3373,0.6444
Naive Bayes,1.0,0.1667,0.0,0.5833,0.2857,0.3685,0.5833
Decision Tree,0.2667,0.6667,0.5,0.5833,0.381,0.1371,0.5833
Nearest Centroid,0.3333,0.1667,0.0909,0.5379,0.2222,0.1005,0.5379
Naive Bayes,1.0,0.4762,0.0,0.7381,0.6452,0.4303,0.7381
Decision Tree,0.8235,0.6667,0.4286,0.619,0.7368,0.2111,0.619
Nearest Centroid,1.0,0.5714,0.0,0.7857,0.7273,0.5,0.7857
Naive Bayes Mean,0.6933,0.3086,0.0835,0.6126,0.4071,0.2969,0.6126
Decision Tree Mean,0.44,0.54,0.3748,0.5826,0.4684,0.1797,0.5826
Nearest Centroid Mean,0.5091,0.3276,0.1437,0.592,0.3942,0.2093,0.592
