Naive Bayes,0.3333,0.4,0.1053,0.6474,0.3636,0.2727,0.6474
Decision Tree,0.2857,0.8,0.2632,0.7684,0.4211,0.3672,0.7684
Nearest Centroid,0.375,0.6,0.1316,0.7342,0.4615,0.3859,0.7342
Naive Bayes,0.4,0.6667,0.0769,0.7949,0.5,0.469,0.7949
Decision Tree,0.2308,1.0,0.2564,0.8718,0.375,0.4142,0.8718
Nearest Centroid,0.2857,0.6667,0.1282,0.7692,0.4,0.3721,0.7692
Naive Bayes,0.5,1.0,0.05,0.975,0.6667,0.6892,0.975
Decision Tree,0.2222,1.0,0.175,0.9125,0.3636,0.4282,0.9125
Nearest Centroid,0.25,1.0,0.15,0.925,0.4,0.461,0.925
Naive Bayes,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Decision Tree,0.1,1.0,0.2195,0.8902,0.1818,0.2794,0.8902
Nearest Centroid,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Naive Bayes,1.0,0.4524,0,0.4524,0.623,0.0,nan
Decision Tree,1.0,0.4048,0,0.4048,0.5763,0.0,nan
Nearest Centroid,1.0,0.381,0,0.381,0.5517,0.0,nan
Naive Bayes Mean,0.6467,0.7038,0.0464,0.7739,0.6307,0.4862,nan
Decision Tree Mean,0.3677,0.841,0.1828,0.7695,0.3836,0.2978,nan
Nearest Centroid Mean,0.5821,0.7295,0.082,0.7619,0.5626,0.4438,nan
