Naive Bayes,0.6667,0.5,0.1765,0.6618,0.5714,0.3444,0.6618
Decision Tree,0.75,0.75,0.1765,0.7868,0.75,0.5735,0.7868
Nearest Centroid,0.5455,0.5,0.2941,0.6029,0.5217,0.209,0.6029
Naive Bayes,0.0,0.0,0.1852,0.4074,0.0,-0.0897,0.4074
Decision Tree,0.0833,1.0,0.4074,0.7963,0.1538,0.2222,0.7963
Nearest Centroid,0.0,0.0,0.2222,0.3889,0.0,-0.1005,0.3889
Naive Bayes,0.8,0.4,0.0556,0.6722,0.5333,0.4309,0.6722
Decision Tree,0.6667,0.6,0.1667,0.7167,0.6316,0.4446,0.7167
Nearest Centroid,0.6667,0.4,0.1111,0.6444,0.5,0.3373,0.6444
Naive Bayes,1.0,0.1667,0.0,0.5833,0.2857,0.3685,0.5833
Decision Tree,0.3333,0.8333,0.4545,0.6894,0.4762,0.3116,0.6894
Nearest Centroid,0.3333,0.1667,0.0909,0.5379,0.2222,0.1005,0.5379
Naive Bayes,1.0,0.5714,0.0,0.7857,0.7273,0.5,0.7857
Decision Tree,0.7895,0.7143,0.5714,0.5714,0.75,0.1325,0.5714
Nearest Centroid,1.0,0.5714,0.0,0.7857,0.7273,0.5,0.7857
Naive Bayes Mean,0.6933,0.3276,0.0835,0.6221,0.4235,0.3108,0.6221
Decision Tree Mean,0.5246,0.7795,0.3553,0.7121,0.5523,0.3369,0.7121
Nearest Centroid Mean,0.5091,0.3276,0.1437,0.592,0.3942,0.2093,0.592
